symbol,date,category,side,value,market,currency
000651.SZ,2025-09-30,现金,asset,116235166802.51,CN,CNY
000651.SZ,2025-09-30,应收款,asset,15019829519.67,CN,CNY
000651.SZ,2025-09-30,预付款,asset,2250528974.14,CN,CNY
000651.SZ,2025-09-30,存货,asset,25341875464.64,CN,CNY
000651.SZ,2025-09-30,长期投资,asset,0.0,CN,CNY
000651.SZ,2025-09-30,固定资产,asset,34894951840.17,CN,CNY
000651.SZ,2025-09-30,无形资产/商誉,asset,11339949197.439999,CN,CNY
000651.SZ,2025-09-30,其他资产,asset,194139629703.01004,CN,CNY
000651.SZ,2025-09-30,应付账款,liability,48342997273.93,CN,CNY
000651.SZ,2025-09-30,合同负债/预收款,liability,13711485538.27,CN,CNY
000651.SZ,2025-09-30,应付职工薪酬,liability,4507793100.29,CN,CNY
000651.SZ,2025-09-30,应交税费,liability,3329145429.23,CN,CNY
000651.SZ,2025-09-30,有息负债,liability,69057468338.07,CN,CNY
000651.SZ,2025-09-30,其他负债,liability,111761093301.44,CN,CNY
